"Mean" "Median" "Std_Dev" "Min" "Max" "Skewness" "Kurtosis"
"X0_1" -0.008 -0.009 0.1 -0.45 0.314 0.037 0.282
"X0_2" -0.008 -0.009 0.101 -0.315 0.409 0.103 0.331
"X0.05_1" 0.041 0.045 0.109 -0.264 0.368 -0.029 -0.157
"X0.05_2" 0.04 0.043 0.099 -0.375 0.312 -0.153 -0.068
"X0.1_1" 0.091 0.092 0.111 -0.246 0.419 -0.107 -0.021
"X0.1_2" 0.096 0.099 0.099 -0.182 0.36 -0.085 -0.258
"X0.15_1" 0.156 0.159 0.112 -0.184 0.475 -0.078 -0.376
"X0.15_2" 0.155 0.156 0.1 -0.177 0.447 -0.158 -0.036
"X0.2_1" 0.228 0.233 0.117 -0.111 0.549 -0.18 -0.263
"X0.2_2" 0.229 0.236 0.105 -0.2 0.546 -0.184 0.037
