year,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84
2001,1293,194,206,748,1034,1124,1673,2593,3446,4269,4310,4395,6046,8078,11711,11806,8944
2002,1062,153,167,642,976,1203,1590,2448,3363,4287,4608,4193,5983,7560,11320,12191,9507
2003,893,197,170,566,934,1150,1638,2416,3479,4345,4991,4205,5977,7499,10914,12708,9915
2004,933,136,154,638,907,1189,1620,2468,3563,4555,5289,4598,5936,7390,10708,13472,10715
2005,841,146,178,570,913,1407,1694,2550,3749,4750,5540,5069,6017,7540,10200,14010,11630
2006,779,138,185,552,819,1257,1678,2546,3777,4773,5793,5520,5328,7295,9502,13174,11616
2007,763,120,148,462,723,1094,1520,2346,3644,4732,5652,6002,5298,7509,9333,13371,12312
2008,703,109,133,458,648,992,1504,2272,3545,4797,5740,6409,5484,7358,9403,12985,13230
2009,585,147,160,423,589,987,1466,2227,3335,4625,5777,6613,5616,7133,9136,12171,13615
2010,544,104,135,436,548,915,1381,1956,3205,4595,5718,6896,5978,6976,8812,11773,14269
2011,604,86,133,415,607,837,1427,2116,3338,4778,5894,7128,6906,6825,9270,11903,14803
2012,630,82,124,406,528,738,1370,2044,3175,4650,5810,7001,7364,6693,9231,11300,14826
2013,534,77,119,386,507,639,1209,1925,2872,4451,6013,7095,7969,6673,9184,10883,14308
2014,550,82,110,356,514,596,1199,2064,2873,4508,6082,7219,8435,7256,9422,11231,14116
2015,601,60,93,380,509,596,1070,1974,2780,4358,5940,7401,8779,7762,8886,11381,13516
2016,549,69,96,367,547,618,1102,1939,2804,4264,6214,7818,9206,8774,8882,11783,13663
2017,491,58,95,326,497,540,934,1797,2732,4044,5873,7662,9009,9629,8641,11719,12775
2018,509,56,99,294,486,558,833,1663,2672,3876,5725,7691,9134,10008,8710,11628,12757
2019,467,60,59,333,497,523,798,1576,2684,3889,5687,7868,9331,10651,9112,11284,12709
2020,407,50,68,305,486,521,658,1418,2546,3519,5540,7445,9345,10859,9410,11069,12576
