"","year","latitude","longitude","depth","intensity"
"265",89,23.97,121,9.8,3.9
"266",89,24.01,120.71,11.8,3.7
"267",89,22.89,121.98,32.7,4.9
"268",89,24.1,121.44,14,4.5
"269",89,23.77,120.97,22.8,4.9
"270",89,23.77,120.97,23.2,4.8
"271",89,24.46,121,2.1,4.4
"272",89,23.9,121.11,12.1,4.6
"273",89,23.23,120.08,1,4.3
"274",89,24.32,121.07,13.9,4.5
"275",89,23.35,120.92,1,4.7
"276",89,24.4,120.96,3.8,4.7
"277",89,24.39,120.97,2.5,4.3
"278",89,23.51,121.33,1,5
"279",89,24.06,121.41,7.6,4.5
"280",89,23.31,120.56,9.2,4.8
"281",89,23.19,120.21,7.9,4.1
"282",89,23.99,121.07,7.5,4.8
"283",89,23.51,120.48,4.7,4.2
"284",89,24.39,120.9,4.2,4.6
"285",89,24.34,121.91,20.3,4.8
"286",89,22.81,121.19,21.1,5.2
"287",89,23.56,120.62,3,4.3
"288",89,23.58,120.84,9.8,4.5
"289",89,24.07,121.54,8,4.1
"290",89,23.33,120.75,9.2,5.6
"291",89,23.33,120.75,13.4,4.5
"292",89,24.35,120.8,7.4,4
"293",89,22.44,121.14,35.7,5
"294",89,23.32,120.74,15.5,4.6
"295",89,24.82,124,112,6
"296",89,23.77,121.01,22.9,4.7
"297",89,23.53,120.45,10.8,4.4
"298",89,23.86,120.95,1.5,4.5
"299",89,23.28,121.4,15,5.6
"300",89,22.78,121.55,12.8,5
"301",89,23.3,120.75,13.8,5.3
"302",89,23.32,120.74,15.7,4.6
"303",89,24.37,121.79,58.9,4.4
"304",89,23.51,120.42,15.2,4
"305",89,23.32,120.74,14.6,4.5
"306",89,24.08,121.03,3,4.5
"307",89,24.77,122.34,3,4.6
"308",89,23.31,120.76,10.8,5
"309",89,24.25,121.69,20,4.2
"310",89,24.34,122.15,50.2,4.9
"311",89,23.32,120.75,9,4.7
"312",89,23.08,120.12,15.7,4.8
"313",89,23.85,121.05,15.5,4.8
"314",89,23.89,120.73,17.6,4.3
"315",89,22.7,120.9,31.3,5.1
"316",89,23.5,120.54,17.5,4.1
"317",89,24.31,122.38,48.3,5.1
"318",89,23.97,121.41,10.4,4.1
"319",89,24.27,121.04,3.7,4.9
"320",89,23.39,120.94,3,4.8
"321",89,23.41,120.64,9.2,4.2
"322",89,24.85,122,8.6,4.5
"323",89,23.58,120.46,15.9,4.2
"324",89,24.25,121.17,3,4.5
"325",89,23.05,121.34,39.9,4.7
"326",89,22.73,120.52,33,4.5
"327",89,24.02,121.48,8.5,4.4
"328",89,23.99,121.39,3,4.1
"329",89,24.06,121.5,17.3,5
"330",89,22.51,120.41,37.5,5.2
"331",89,23.98,120.67,7.7,4.8
"332",89,22.51,120.4,40,4.6
"333",89,23.49,120.37,11.6,3.9
"334",89,24.07,121.45,9.6,4.5
"335",89,24.21,121.07,3,5.3
"336",89,24.24,121.11,9.9,5.2
"337",89,24.25,121.12,7.8,4.1
"338",89,24.25,121.09,5.5,4.1
"339",89,24.24,121.06,9.7,4.3
"340",89,24.22,121.07,1.5,4.3
"341",89,22.86,121.28,23.5,4.7
"342",89,24.27,121.09,9.2,4.2
"343",89,24.22,121.05,3.9,5
"344",89,24.15,121.1,3,4.4
"345",89,24.19,121.06,2.6,4.4
"346",89,23.86,121.06,27.4,4.5
"347",89,23.97,120.65,11.5,4.7
"348",89,23.97,120.66,13.3,4.3
"349",89,23.58,120.69,18.3,4.2
"350",89,23.5,120.46,14.1,2.8
"351",89,23.51,120.4,10.2,4.5
"352",89,23.92,120.72,27,4.4
"353",89,22.45,120.99,11.8,4.7
"354",89,24.47,121.81,9.2,4.8
"355",89,23.89,121.11,10.21,6.7
"356",89,23.91,121.11,14,4.7
"357",89,23.84,121.07,26.5,5.1
"358",89,23.91,121.08,22.7,4.7
"359",89,23.91,121.09,27.6,4.3
