year,latitude,longitude,depth,intensity
88,23.42,120.62,5.2,4.4
88,23.85,120.78,1.1,7.3
88,23.91,121.04,3.7,6.3
88,23.93,121.07,6.1,5.8
88,24.33,121.35,48.2,5.8
88,23.78,120.87,5,6.6
88,23.87,121.04,2,6.8
88,23.99,121.08,12.3,5.3
88,23.82,121.01,2.9,5.2
88,23.88,120.98,2,5.2
88,23.92,121,1,5.1
88,23.92,121.02,8.9,5
88,24.12,120.8,2,5.3
88,23.84,120.79,0.7,5
88,24.05,120.98,3.4,5.1
88,23.88,120.97,1.2,5.4
88,23.54,120.91,1.1,5.7
88,23.97,120.79,2.9,5.6
88,24.1,121.01,3.4,5.2
88,23.78,121.33,8.6,5.4
88,23.78,121.33,8.6,5.4
88,23.45,120.83,2.5,5.3
88,23.61,120.83,5,6.4
88,23.51,120.93,2.5,5.5
88,23.88,120.96,8.5,5.2
88,23.49,120.91,2.5,5.2
88,23.88,120.98,10.6,5.2
88,23.73,120.75,2.5,5.2
88,23.93,121,8.4,4.9
88,23.99,121.03,3.1,5.1
88,24.02,120.99,6.9,4.7
88,23.52,120.88,3.4,4.2
88,23.79,121.42,13.1,5.2
88,24.07,121.12,3.7,5.2
88,23.65,120.64,11,5
88,23.85,120.84,1.1,4.7
88,23.92,121.09,24.1,4.7
88,23.81,120.95,1.1,4.5
88,23.67,120.84,5.9,5.1
88,23.63,120.72,12.4,4.9
88,23.65,120.72,19.3,4.5
88,24.07,121.38,21.4,5
88,24.32,120.83,2.5,5
88,23.61,120.85,2.5,5.1
88,23.8,120.96,6.5,4.6
88,23.81,121.32,13.7,5.2
88,24.17,121.01,2.5,5
88,23.73,120.78,1.6,4.7
88,23.95,121.39,9.9,5.1
88,23.87,120.97,5.8,4.4
88,23.84,121.04,7.5,6.8
88,23.73,121,19.6,5.1
88,23.75,121.02,6.3,6.2
88,23.79,120.98,16.2,5.2
88,23.78,121.41,11.6,5.2
88,23.65,120.82,1.7,4.9
88,23.83,121.02,8.5,4.6
88,23.89,121.03,21.3,4.7
88,23.62,120.82,1.1,4.7
88,23.99,121.32,2.5,4.4
88,23.74,121,20.9,6
88,23.65,120.69,1.1,5
88,23.63,120.83,11.7,4.6
88,23.52,120.91,5.7,4
88,23.44,120.89,1.1,4.2
88,24.21,121.21,20.4,5.2
88,23.97,120.99,21.1,5.3
88,23.97,120.99,21.1,5.3
88,23.86,121.01,27.3,4.6
88,23.62,120.8,2.5,5.1
88,23.98,121.38,16.1,5
88,23.51,120.87,1.1,4.8
88,24.14,120.99,1.1,4.9
88,24.05,120.94,8.4,4.6
88,23.63,120.9,5,5.1
88,23.58,120.64,4.3,4.2
88,23.63,120.66,14.9,4.5
88,24.28,121.17,12.9,4.5
88,24.27,121.24,6.3,5.1
88,24.29,121.18,12.9,4.6
88,23.68,120.97,5.7,5.6
88,23.99,120.71,16,4.6
88,23.74,120.97,22,5
88,23.57,120.91,9.4,4.4
88,23.61,120.84,4.1,4.9
88,23.99,120.62,6.6,4.6
88,23.86,121,7.5,6.7
88,23.68,120.94,5.4,4.9
88,23.8,121.01,21.3,4.6
88,24.27,121.22,4.7,5.2
88,24.28,121.19,11.6,5.3
88,24.2,121.25,15.1,5
88,24.28,121.05,8.6,4.3
88,24.18,121.25,6.4,5.1
88,23.72,121.35,13.9,5.4
88,23.93,121.24,4.4,5.1
88,23.99,120.65,10.7,5.3
88,24.01,120.65,11,4.4
88,24.1,121.04,3.9,5
88,23.61,120.82,4.4,4.6
88,23.67,120.75,11.8,5.1
88,23.67,120.74,12.5,4.6
88,23.62,120.86,5.9,4.6
88,24.25,121.1,5.4,5
88,24.45,120.82,3.1,4.8
88,23.57,120.89,8.7,4.6
